A,0-9,C10-S951_X_K,E_CC1_BI,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	8.83 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_BI,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	1.91 	2.18 	2.28 	5.52 
A,0-9,C10-S951_X_K,E_CC1_BI,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	5.80 	7.18 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	4.13 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT,ES	: 	: 	: 	: 	: 	: 	0.34 	0.27 	0.47 	1.09 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT,PT	: 	: 	: 	: 	: 	: 	2.28 	2.68 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	13.21 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	4.41 	3.34 	4.90 	9.29 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	13.26 	13.86 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	4.21 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	0.42 	0.33 	0.58 	1.39 
A,0-9,C10-S951_X_K,E_CC1_I,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	2.71 	3.06 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	23.63 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT,ES	: 	: 	: 	: 	: 	: 	6.80 	6.92 	: 	10.55 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT,PT	: 	: 	: 	: 	: 	: 	12.42 	12.57 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	75.50 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	87.39 	84.41 	: 	89.57 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	72.11 	64.90 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	24.06 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	8.34 	8.29 	: 	13.39 
A,0-9,C10-S951_X_K,E_CC1_IS_GE1,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	14.72 	14.32 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	30.74 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT,ES	: 	: 	: 	: 	: 	: 	7.64 	7.88 	9.46 	11.45 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT,PT	: 	: 	: 	: 	: 	: 	17.20 	19.23 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	98.20 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	98.21 	96.13 	98.04 	97.19 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	99.85 	99.32 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	31.30 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	9.38 	9.44 	11.59 	14.53 
A,0-9,C10-S951_X_K,E_CC1_PANY,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	20.39 	21.91 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	0.55 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT,ES	: 	: 	: 	: 	: 	: 	0.14 	0.32 	0.19 	0.33 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT,PT	: 	: 	: 	: 	: 	: 	0.03 	0.13 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	1.75 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	1.79 	3.87 	1.96 	2.81 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	0.15 	0.68 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	0.56 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	0.17 	0.38 	0.23 	0.42 
A,0-9,C10-S951_X_K,E_CC1_PNONE,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	0.03 	0.15 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	5.27 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT,ES	: 	: 	: 	: 	: 	: 	1.26 	1.42 	1.57 	1.84 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT,PT	: 	: 	: 	: 	: 	: 	2.78 	2.72 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	16.85 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	16.24 	17.38 	16.32 	15.65 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	16.13 	14.04 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	5.37 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	1.55 	1.71 	1.93 	2.34 
A,0-9,C10-S951_X_K,E_CC1_PS,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	3.29 	3.10 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	21.04 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT,ES	: 	: 	: 	: 	: 	: 	6.08 	6.06 	7.60 	7.10 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT,PT	: 	: 	: 	: 	: 	: 	12.31 	12.93 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	67.20 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	78.23 	73.92 	78.78 	60.25 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	71.46 	66.78 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	21.42 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	7.47 	7.26 	9.31 	9.01 
A,0-9,C10-S951_X_K,E_CC1_S,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	14.59 	14.73 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	25.59 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT,ES	: 	: 	: 	: 	: 	: 	6.43 	6.33 	8.07 	8.19 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	14.59 	15.61 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	81.74 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	82.64 	77.26 	83.68 	69.53 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	84.71 	80.64 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	26.05 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	7.89 	7.58 	9.89 	10.40 
A,0-9,C10-S951_X_K,E_CC1_SI,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	17.30 	17.79 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT,DE	: 	: 	: 	: 	: 	: 	: 	28.91 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT,ES	: 	: 	: 	: 	: 	: 	6.83 	7.36 	: 	10.22 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT,PT	: 	: 	: 	: 	: 	: 	16.53 	18.48 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT_CC,DE	: 	: 	: 	: 	: 	: 	: 	92.35 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT_CC,ES	: 	: 	: 	: 	: 	: 	87.77 	89.78 	: 	86.76 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT_CC,PT	: 	: 	: 	: 	: 	: 	95.96 	95.46 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT_IUSE,DE	: 	: 	: 	: 	: 	: 	: 	29.43 	: 	: 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	8.38 	8.81 	: 	12.97 
A,0-9,C10-S951_X_K,E_CC1_SS_GE1,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	19.60 	21.06 	: 	: 
A,0-9,C10-S951_X_K,E_CC_DA,PC_ENT,ES	: 	: 	: 	: 	: 	: 	: 	2.10 	2.42 	3.79 
A,0-9,C10-S951_X_K,E_CC_DA,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	6.78 	: 	: 
A,0-9,C10-S951_X_K,E_CC_DA,PC_ENT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.73 
A,0-9,C10-S951_X_K,E_CC_DA,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	: 	: 	2.51 	2.97 	4.82 
A,0-9,C10-S951_X_K,E_CC_DA,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	: 	: 	7.73 	: 	: 
A,0-9,C10-S951_X_K,E_CC_DA,PC_ENT_IUSE,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.47 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT,ES	: 	: 	: 	2.44 	2.37 	3.38 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT,PT	: 	: 	: 	5.07 	6.57 	11.08 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT,SE	: 	: 	: 	17.97 	18.41 	22.40 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT,SK	: 	: 	: 	5.80 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT,UK	: 	: 	: 	: 	13.05 	19.53 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CC,ES	: 	: 	: 	50.76 	36.92 	54.43 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CC,PT	: 	: 	: 	55.58 	63.52 	66.85 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CC,SE	: 	: 	: 	64.53 	59.50 	65.01 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CC,SK	: 	: 	: 	59.05 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CC,UK	: 	: 	: 	: 	58.33 	65.52 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CUSE,ES	: 	: 	: 	3.47 	3.06 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CUSE,PT	: 	: 	: 	5.78 	7.43 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CUSE,SE	: 	: 	: 	20.01 	20.77 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CUSE,SK	: 	: 	: 	7.22 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_CUSE,UK	: 	: 	: 	: 	15.43 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IACC,ES	: 	: 	: 	3.64 	3.27 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IACC,PT	: 	: 	: 	6.22 	7.98 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IACC,SE	: 	: 	: 	20.11 	20.95 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IACC,SK	: 	: 	: 	7.46 	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IACC,UK	: 	: 	: 	: 	15.82 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IUSE,ES	: 	: 	: 	: 	: 	4.45 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IUSE,PT	: 	: 	: 	: 	: 	12.92 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IUSE,SE	: 	: 	: 	: 	: 	26.27 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_HI,PC_ENT_IUSE,UK	: 	: 	: 	: 	: 	21.77 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_CC_IOT,PC_ENT,DE	: 	: 	: 	: 	: 	: 	11.00 	: 	: 	: 
