freq,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,PC_EMP,ME	: 	: 	: 	: 	: 	: 	: 	1.8 be	1.9 e	2.1 e	2.3 e	2.4 e	2.1 e	2.3 e	1.9 e	1.8 e	2.5 e	: 	: 	: 	: 	: 
A,PC_EMP,MK	: 	: 	: 	: 	: 	: 	: 	1.3 b	1.3 	1.3 	1.5 e	1.8 	1.8 e	1.6 	1.6 	1.9 	2.3 e	2.7 b	3.3 	3.5 	3.3 e	3.2 
A,PC_EMP,MT	5.4 be	4.8 be	4.0 e	5.9 	5.5 e	4.7 e	4.7 	3.4 be	3.4 e	3.3 	3.6 	3.8 	3.9 e	4.3 	4.8 	4.6 	4.4 e	4.8 be	5.0 	4.7 	5.3 	4.8 
A,PC_EMP,NL	4.1 	4.0 b	3.8 b	3.7 	3.8 	3.8 	3.9 	4.6 be	4.5 	4.7 b	4.8 	5.0 	5.1 	5.1 	5.3 	5.6 	5.9 	6.7 b	7.2 	6.9 	7.0 	7.2 
A,PC_EMP,NO	: 	: 	: 	: 	: 	: 	: 	4.3 b	4.4 	4.5 	4.5 e	4.5 e	4.2 e	4.6 	4.5 	4.6 	5.0 e	5.4 be	5.1 	5.3 	5.5 e	5.9 
A,PC_EMP,PL	2.5 be	2.6 be	2.8 e	3.0 e	3.0 e	3.2 e	3.0 be	2.3 b	2.5 	2.6 	2.6 	2.6 e	2.7 e	2.8 	3.0 	3.2 b	3.5 	3.7 b	3.7 	4.3 	4.5 	4.5 
A,PC_EMP,PT	2.3 e	2.4 be	2.6 e	2.8 e	2.6 e	2.8 e	2.9 e	1.9 be	2.1 e	2.4 e	3.1 e	2.9 e	3.0 e	2.8 e	3.1 e	3.6 e	3.9 e	4.6 b	4.5 	4.6 	5.2 	5.4 
A,PC_EMP,RO	: 	1.4 be	2.0 e	2.1 e	2.1 e	2.1 e	1.9 be	1.5 be	1.6 e	1.6 e	1.6 	1.9 	2.0 	2.1 	2.2 	2.3 e	2.4 	2.6 b	2.8 e	2.6 	2.8 e	2.7 e
A,PC_EMP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 e	2.0 b	2.2 e	2.3 e	2.3 	2.4 	2.6 e	2.8 e	3.5 b	3.6 	4.3 	4.3 	4.2 e
A,PC_EMP,SE	5.7 e	6.2 be	6.1 e	6.1 e	6.3 e	6.4 e	6.4 e	5.6 b	5.8 	5.7 	5.8 	6.1 	6.3 	6.6 	6.8 b	7.0 	7.5 e	8.0 b	8.6 	8.7 e	8.6 	8.9 
A,PC_EMP,SI	3.2 e	3.6 be	3.7 e	3.4 e	3.7 e	3.8 e	3.8 e	3.6 b	3.3 	3.4 	3.5 	3.6 e	3.5 	3.8 	4.0 e	3.9 e	4.4 e	4.8 b	4.5 	3.8 	4.3 e	4.5 
A,PC_EMP,SK	2.8 e	3.1 be	3.5 e	3.7 e	3.5 e	3.5 e	3.7 e	2.7 b	2.5 	2.6 	2.8 	2.8 	2.9 	2.8 	3.2 e	3.7 	4.2 	4.3 b	4.3 	4.2 	4.6 	4.4 e
A,PC_EMP,TR	: 	: 	: 	: 	: 	: 	: 	1.0 be	1.1 be	1.1 e	1.2 be	1.2 e	1.2 e	1.2 e	1.3 e	1.3 e	1.4 e	1.4 b	1.5 	1.5 	1.5 	1.6 
A,PC_EMP,UK	: 	: 	: 	: 	: 	: 	: 	4.8 be	5.0 e	4.9 e	5.0 e	5.2 e	5.3 e	5.2 e	5.4 e	5.6 e	: 	: 	: 	: 	: 	: 
A,THS_PER,AT	106.1 be	116.0 be	126.0 e	128.3 be	133.2 e	138.8 e	140.8 e	145.0 b	147.0 	152.6 	149.3 	166.6 	178.6 	187.8 	191.8 	184.6 	193.5 	192.5 b	220.6 	237.4 	237.0 	242.1 
A,THS_PER,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.6 be	19.1 e	24.0 e	28.4 e	26.2 e
A,THS_PER,BE	142.8 e	147.0 be	155.9 e	178.3 e	173.6 e	181.6 e	198.5 e	181.0 be	194.9 	189.3 	192.4 	188.4 	193.8 	228.6 b	244.8 	238.9 	240.8 	272.1 b	277.5 	272.6 	287.5 	302.3 
A,THS_PER,BG	63.8 e	66.1 be	73.4 e	78.9 e	80.8 be	77.8 e	75.3 be	66.4 be	72.1 e	74.6 e	74.1 e	88.1 e	91.7 e	96.4 e	103.5 e	92.6 b	95.5 	99.8 b	111.3 	126.1 	135.2 b	141.5 
A,THS_PER,CH	: 	: 	: 	: 	: 	: 	: 	183.5 b	203.8 	207.5 	213.6 	215.2 	226.9 	223.0 	233.6 	256.4 	254.2 	256.4 b	269.1 	272.5 	275.3 	284.0 
A,THS_PER,CY	7.3 e	7.9 be	8.2 e	9.9 e	9.9 e	9.2 be	9.6 e	9.9 be	9.9 e	10.0 e	10.0 e	9.6 	9.9 	10.8 	12.8 	11.5 	13.8 	17.1 b	20.4 	26.6 e	24.2 e	24.7 
A,THS_PER,CZ	159.4 e	176.6 be	188.3 e	209.5 e	228.1 e	225.7 e	225.8 be	170.4 b	164.2 	182.4 	184.9 	177.1 	188.7 	189.2 	211.6 	213.8 	219.8 	240.6 b	232.9 	217.9 	234.6 	248.2 
A,THS_PER,DE	1185.6 e	1311.7 be	1329.3 be	1356.6 e	1403.8 e	1412.5 e	1460.8 be	1215.2 be	1353.5 b	1397.2 	1417.9 	1465.6 	1541.1 	1555.9 	1622.7 	1686.9 	1933.9 b	1984.0 b	2072.2 	2054.7 	2184.5 	2319.1 
A,THS_PER,DK	118.4 e	112.3 be	126.0 e	127.2 e	133.6 be	126.8 e	127.0 e	114.1 be	124.3 e	126.8 e	121.7 e	122.1 e	134.3 be	139.6 be	140.4 e	148.1 e	152.3 e	162.3 b	170.9 	176.8 b	177.2 	175.5 
