A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES	1.08 	1.41 	2.16 	3.54 
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT	1.32 	1.80 	3.60 	: 
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES	1.03 	1.33 	2.01 	3.09 
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT	1.26 	1.75 	3.43 	: 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES	1.24 	1.29 	1.39 	2.32 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,PT	1.89 	2.06 	3.20 	: 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,ES	76.64 	68.90 	48.11 	49.60 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,PT	86.18 	70.29 	60.44 	: 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,ES	1.58 	1.64 	1.83 	3.38 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,PT	2.35 	2.41 	3.88 	: 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,ES	1.52 	1.55 	1.70 	2.94 
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,PT	2.25 	2.35 	3.70 	: 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,ES	0.77 	0.96 	1.21 	2.57 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,PT	1.20 	1.57 	2.54 	: 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,ES	47.94 	51.15 	41.95 	54.88 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT	54.61 	53.57 	47.93 	: 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES	0.99 	1.21 	1.60 	3.74 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT	1.49 	1.84 	3.07 	: 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES	0.95 	1.15 	1.49 	3.26 
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT	1.42 	1.79 	2.93 	: 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,ES	0.42 	0.50 	0.81 	1.36 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,PT	0.79 	1.02 	2.16 	: 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,ES	26.00 	26.54 	28.18 	28.99 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,PT	35.70 	34.81 	40.77 	: 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,ES	0.54 	0.63 	1.07 	1.97 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,PT	0.97 	1.20 	2.61 	: 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,ES	0.51 	0.60 	1.00 	1.72 
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,PT	0.93 	1.16 	2.49 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT,ES	: 	: 	0.05 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT,PT	: 	: 	0.08 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_PDI,ES	: 	: 	46.29 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_PDI,PT	: 	: 	64.48 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_TANY,ES	: 	: 	0.88 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_TANY,PT	: 	: 	2.10 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT,ES	: 	: 	0.01 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT,PT	: 	: 	0.04 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_PDI,ES	: 	: 	10.75 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_PDI,PT	: 	: 	27.81 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_TANY,ES	: 	: 	0.20 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT_AI_TANY,PT	: 	: 	0.91 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT,ES	: 	: 	0.01 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT,PT	: 	: 	0.00 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_PDI,ES	: 	: 	12.53 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_PDI,PT	: 	: 	2.28 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_TANY,ES	: 	: 	0.24 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AEXT,PC_ENT_AI_TANY,PT	: 	: 	0.07 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT,ES	: 	: 	0.02 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT,PT	: 	: 	0.07 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_PDI,ES	: 	: 	14.23 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_PDI,PT	: 	: 	49.51 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_TANY,ES	: 	: 	0.27 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AMOWN,PC_ENT_AI_TANY,PT	: 	: 	1.61 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT,ES	: 	: 	0.03 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT,PT	: 	: 	0.01 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_PDI,ES	: 	: 	23.55 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_PDI,PT	: 	: 	11.25 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_TANY,ES	: 	: 	0.45 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_AOS,PC_ENT_AI_TANY,PT	: 	: 	0.37 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT,ES	: 	: 	0.03 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT,PT	: 	: 	0.02 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_PDI,ES	: 	: 	26.23 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_PDI,PT	: 	: 	16.27 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_TANY,ES	: 	: 	0.50 	: 
A,0-9,C10-S951_X_K,E_AI_BIAS_ARDY,PC_ENT_AI_TANY,PT	: 	: 	0.53 	: 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,ES	0.63 	0.83 	0.56 	1.55 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT,PT	1.18 	1.18 	2.14 	: 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_EC,ES	39.05 	44.16 	19.45 	33.22 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_EC,PT	53.86 	40.17 	40.38 	: 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_TX,ES	0.81 	1.05 	0.74 	2.26 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_TX,PT	1.47 	1.38 	2.59 	: 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_IUSE,ES	0.77 	0.99 	0.69 	1.97 
A,0-9,C10-S951_X_K,E_AI_BINC,PC_ENT_IUSE,PT	1.40 	1.34 	2.47 	: 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT,ES	1.36 	1.54 	2.24 	3.70 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT,PT	1.48 	1.96 	3.83 	: 
